State,"Land Value (Per Acre, As-Is)"
Alaska,227000
Alabama,105200
Arkansas,87200
Arizona,601400
California,2787900
Colorado,937600
Connecticut,265000
District of Columbia,6316400
Delaware,300000
Florida,584000
Georgia,246700
Hawaii,2757000
Iowa,175900
Idaho,473100
Illinois,459800
Indiana,179300
Kansas,188000
Kentucky,216500
Louisiana,327400
Massachusetts,885600
Maryland,574400
Maine,186000
Michigan,275500
Minnesota,383400
Missouri,230500
Mississippi,72100
Montana,282800
North Carolina,192500
North Dakota,252600
Nebraska,252200
New Hampshire,219600
New Jersey,841300
New Mexico,272900
Nevada,805900
New York,2204000
Ohio,196700
Oklahoma,152800
Oregon,860900
Pennsylvania,322500
Rhode Island,457000
South Carolina,210500
South Dakota,245200
Tennessee,214900
Texas,392800
Utah,705800
Virginia,583700
Vermont,196400
Washington,925000
Wisconsin,251900
West Virginia,104500
Wyoming,329800
